Distributor,Name,URL ,Dosage (mg),Per Measure,Measure,Dosage per measure,Product Image,,,,,Amazon Associate ID 
CVS,Nature's Truth Chelated Zinc (Zinc Gluconate),https://www.cvs.com/shop/nature-s-truth-chelated-zinc-zinc-gluconate-prodid-334076 ,50,1,tablet,50,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/840093101532.jpg?im=Resize=(300,300)",,,,,
CVS,Maty's All Natural Super Berry Immune Support Capsules,https://www.cvs.com/shop/maty-s-all-natural-super-berry-immune-support-capsules-prodid-389194 ,22,2,capsules,11,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/899874002711.jpg?im=Resize=(300,300)",,,,,
CVS,"Goli Nutrition Triple Action Immune Gummies, 60 CT",https://www.cvs.com/shop/goli-nutrition-triple-action-immune-gummies-60-ct-prodid-516246,7.5,2,gummies,3.75,"https://www.cvs.com/bizcontent/merchandising/productimages/large_im/55840402569.jpg?im=Resize=(300,300)",,,,,
Walgreens,High Potency Zinc 50 mg Caplets,https://www.walgreens.com/store/c/walgreens-high-potency-zinc-50-mg-caplets/ID=300428284-product,50,1,capsule,50,https://pics.walgreens.com/prodimg/649962/450.jpg,,,,,
Walgreens,Zinc 22mg Gummies,https://www.walgreens.com/store/c/walgreens-zinc-22mg-gummies/ID=300436653-product,22,2,gummies,11,https://pics.walgreens.com/prodimg/658465/450.jpg,,,,,
Walgreens,Zinc 50 mg Caplets,https://www.walgreens.com/store/c/nature's-bounty-zinc-50-mg-caplets/ID=prod6144791-product,50,1,caplet,50,https://pics.walgreens.com/prodimg/17690/450.jpg,,,,,
Walgreens,High Potency Zinc 50 mg Caplets,https://www.walgreens.com/store/c/walgreens-high-potency-zinc-50-mg-caplets/ID=300428040-product,50,1,caplet,50,https://pics.walgreens.com/prodimg/649706/450.jpg,,,,,
Walgreens,Super C with Vitamin D3 and Zinc Tablets,https://www.walgreens.com/store/c/nature-made-super-c-with-vitamin-d3-and-zinc-tablets/ID=400393910-product,11,1,caplet,11,https://pics.walgreens.com/prodimg/615039/450.jpg,,,,,
Walgreens,Power Zinc Gummy Vitamins,https://www.walgreens.com/store/c/vitafusion-power-zinc-gummy-vitamins/ID=300409476-product,15,3,gummies,5,https://pics.walgreens.com/prodimg/630600/450.jpg,,,,,
Walgreens,"Zinc Chewable Tablets, 50mg Natural Orange","https://www.walgreens.com/store/c/walgreens-zinc-chewable-tablets,-50mg-natural-orange/ID=300426788-product",50,1,tablet,50,https://pics.walgreens.com/prodimg/648397/450.jpg,,,,,
Walgreens,Extra Strength Zinc 30 mg Gummies,https://www.walgreens.com/store/c/nature-made-extra-strength-zinc-30-mg-gummies/ID=300425529-product,30,2,gummies,15,https://pics.walgreens.com/prodimg/647082/450.jpg,,,,,
